Timestamp,Suostumus,Ikä,Sukupuoli,Pituus (cm),Vaikein *ulkona* kiipeämäsi boulder,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #2,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt,Lisää suosikkiboulder #3,Boulderin nimi,Olen lähettänyt (kiivennyt) kyseisen boulderin,Kuvaile boulderia kolmella (3) adjektiivilla,Kuvaile boulderia omin sanoin (vapaaehtoinen),Boulderin pääprofiilit,Boulderin pääotetyypit,Boulderin kiipeämiseen vaadittavat pääkyvyt
12/18/2017 10:03:16,Kyllä,35 - 39,Mies,181,7C,Kun Jari koskee,Kyllä,"Tekninen, kompressio, upea",Parasta kiveä Suomessa,"Pysty (wall), Kantti (arête)",Slouppi (sloper),"Keskivartalo (core), Kompressio (compression), Tasapaino (balance), Tekniikka (technique)",Kyllä,Endless hangover,Kyllä,"Hänkki, dynaaminen, pitkä",Hieno ja jatkuva linja alusta loppuun tiukalla hänkillä ja hyvillä otteilla,Hänkki (overhang),"Kahva (jug), Krimppi (crimp)","Keskivartalo (core), Kestävyys (endurance), Sormivoima (finger strength), Voima (power)",Kyllä,Gordon Gekko,Kyllä,"Halkeama, hänkki, laatu","Harvinaisen hieno halkeama boulderi, joka on mahdollista kiivetä jammailemalla trädityyliin tai ilman jammeja.",Hänkki (overhang),Kräkki,"Keskivartalo (core), Tekniikka (technique), Voima (power)"
12/18/2017 11:53:28,Kyllä,30 - 34,Mies,188,7B,The Three Pygmyteers,Kyllä,"Herkän, voimallinen komperssio",Reitin otteet ovat hyvät ja erityisen mukavat.,Pysty (wall),Reuna/kantti (edge/ledge),"Kompressio (compression), Tasapaino (balance), Voima (power)",Kyllä,Lorién,Ei,"Hieno, tekninen, voimallinen","Hieno tasapaino liike underista pinchiin, josta dynotaan.",Hänkki (overhang),"Kahva (jug), Pinchi (pinch)","Dyno (dyno), Psyykkinen vahvuus  (mental strength), Tekniikka (technique)",Kyllä,Kun Jari koskee,Kyllä,"Herkkää, hienoa, kompressiota",,Kantti (arête),"Slouppi (sloper), Reuna/kantti (edge/ledge)",Kompressio (compression)
12/18/2017 12:27:09,Kyllä,35 - 39,Mies,178,7B+,Saturday night fever,Kyllä,Klassikko,,Kantti (arête),"Krimppi (crimp), Reuna/kantti (edge/ledge)",Huukkaus (hook),Ei,,,,,,,,,,,,,,,
12/18/2017 13:51:13,Kyllä,25 - 29,Mies,180,7B,Puerto Rico,Kyllä,"Tekninen, kuumottava, kaunis",Reitti ehkä suomen kauneimmalla boulder-kivellä. Erityisen herkkä ja hieno reitti,Pysty (wall),"Krimppi (crimp), Reuna/kantti (edge/ledge)","Huukkaus (hook), Liikkuvuus (mobility), Mantteli (mantel), Tasapaino (balance), Tekniikka (technique)",Kyllä,Kasvihuoneilmiö,Kyllä,"Tekninen, herkkä, alueelleen tyypillinen",Luolavuoren traverse-reittien ehdoton kruununjalokivi. Alueen klassikko,Pysty (wall),Slouppi (sloper),"Liikkuvuus (mobility), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,
12/18/2017 14:34:27,Kyllä,35 - 39,Mies,174,7B,Royal Tawastbaum,Kyllä,"tekninen,tarkka,terävä",,"Släbi (slab), Pysty (wall)","Krimppi (crimp), Reuna/kantti (edge/ledge)","Liikkuvuus (mobility), Tasapaino (balance), Tekniikka (technique)",Kyllä,Le' slouper,Kyllä,"lyhyt,mukava",sormiystävällinen,Pysty (wall),Slouppi (sloper),"Liikkuvuus (mobility), Mantteli (mantel), Tasapaino (balance)",Kyllä,Käärmeen käyrä,Kyllä,"linja,ilmeinen,",,"Pysty (wall), Hänkki (overhang)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Tekniikka (technique)"
12/18/2017 14:46:20,Kyllä,30 - 34,Mies,178,7A+,Koulupinnari,Kyllä,"mielenkiintoinen, ilmava, erikoinen",,"Pysty (wall), Hänkki (overhang)","Kahva (jug), Reuna/kantti (edge/ledge)","Keskivartalo (core), Voima (power)",Kyllä,Tampereen Pyrintö,Kyllä,"dynaaminen, haastava, kuumottava",,Hänkki (overhang),"Slouppi (sloper), Reuna/kantti (edge/ledge)","Dyno (dyno), Huukkaus (hook), Voima (power)",Kyllä,Taivaanvartijat,Kyllä,"yllättävä, tekninen, palkitseva",,Katto (roof),"Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Huukkaus (hook), Tekniikka (technique), Voima (power)"
12/18/2017 15:04:09,Kyllä,40 - 44,Mies,180,6C,Lemmen jättiläinen,Kyllä,"Kaunis, kiipeilyllinen, esteettinen","Kaikki otteet ja muuvit juuri sopivia, ei yhtään turhaa tai ylimääräistä. Kiipeää kauniisti.",Hänkki (overhang),Krimppi (crimp),"Mantteli (mantel), Sormivoima (finger strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/18/2017 15:04:10,Kyllä,40 - 44,Mies,180,6C,Lemmen jättiläinen,Kyllä,"Kaunis, kiipeilyllinen, esteettinen","Kaikki otteet ja muuvit juuri sopivia, ei yhtään turhaa tai ylimääräistä. Kiipeää kauniisti.",Hänkki (overhang),Krimppi (crimp),"Mantteli (mantel), Sormivoima (finger strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/18/2017 15:16:19,Kyllä,40 - 44,Mies,175,7B,Ruoska,Kyllä,"Tekninen, korkea, monipuolinen",,Hänkki (overhang),Krimppi (crimp),"Keskivartalo (core), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/18/2017 15:29:16,Kyllä,15 - 19,Mies,172,8A,Hottentotti,Kyllä,"klassikko, voittamaton, märkä",,Hänkki (overhang),"Kahva (jug), Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Huukkaus (hook), Liikkuvuus (mobility), Sormivoima (finger strength), Tekniikka (technique), Voima (power)",Ei,,,,,,,,,,,,,,,
12/18/2017 15:39:36,Kyllä,15 - 19,Mies,180,7C,Herkules,Kyllä,hieno,"kivat muuvit, sopivan korkea ,ihan mukavat otteet.","Pysty (wall), Kantti (arête)","Krimppi (crimp), Reuna/kantti (edge/ledge)","Kompressio (compression), Psyykkinen vahvuus  (mental strength), Tekniikka (technique)",Kyllä,Kun Jari koskee,Kyllä,hieno,"tosi hyvää kiveä ,hienot muuvit, kivan näköinen","Pysty (wall), Kantti (arête)","Slouppi (sloper), Reuna/kantti (edge/ledge)","Huukkaus (hook), Kompressio (compression), Tekniikka (technique)",Kyllä,Supermartikainen,Kyllä,hieno,"hienon näköinen, tosi kivat muuvit (pikkasen morpho)","Hänkki (overhang), Kantti (arête)","Slouppi (sloper), Reuna/kantti (edge/ledge)","Huukkaus (hook), Kompressio (compression), Liikkuvuus (mobility), Voima (power)"
12/18/2017 15:39:00,Kyllä,15 - 19,Mies,175,8A+,Forte risoluto,Kyllä,"Krimpikäs, lennokas, jännittävä",,"Pysty (wall), Hänkki (overhang)",Krimppi (crimp),"Sormivoima (finger strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/18/2017 17:41:13,Kyllä,25 - 29,Mies,172,7A,Elekantti,Ei,"Hänkki, jatkuva, korkea","Selkeä linja, tasaiset muuvit",Hänkki (overhang),Reuna/kantti (edge/ledge),"Kompressio (compression), Voima (power)",Kyllä,Turku Modern,Kyllä,"Hänkki, korkea, klassikko",,Hänkki (overhang),Kahva (jug),"Psyykkinen vahvuus  (mental strength), Voima (power)",Ei,,,,,,,
12/18/2017 17:54:22,Kyllä,20 - 24,Mies,182,8B+,Happy Up Here,Kyllä,"Upea, monipuolinen, sopivan korkea",,"Pysty (wall), Hänkki (overhang)","Kahva (jug), Krimppi (crimp), Slouppi (sloper)","Dyno (dyno), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Kyllä,Localist,Kyllä,"Täydellinen, hyvää kiveä,  tekninen",,"Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Reuna/kantti (edge/ledge), Pinchi (pinch)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Kyllä,Ceasar,Kyllä,"Pelkistetty, kuumottava, uniikki",,"Pysty (wall), Hänkki (overhang)","Krimppi (crimp), Slouppi (sloper)","Dyno (dyno), Psyykkinen vahvuus  (mental strength)"
12/18/2017 18:29:10,Kyllä,40 - 44,Mies,176,7B,Uberhänk,Kyllä,"Dynaaminen, jännittävä, huukkailtava","Lähtö luolasta, huukattava kantti sloupperiin, jännittävä bulgen ylitys pikkukrimpillä, no shit moves","Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Dyno (dyno), Huukkaus (hook), Voima (power)",Kyllä,Elämä on pyyttonia,Ei,"Pitkä, huukattava, korkea","Puhdas sloupperi probleema pitkällä traversella, päättyen pitkään lukkoon ja herkkään high ball toppaukseen","Släbi (slab), Pysty (wall)",Slouppi (sloper),"Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance)",Kyllä,Isak,Kyllä,"Huukkailava, manttelihtava, rypistettävä",Erilaisia huukkeja ja erikoinen manttelihtava toppaus varpaan päälle vetäen liukkaasta sloupperista pinchiin,"Hänkki (overhang), Kantti (arête)","Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Huukkaus (hook), Liikkuvuus (mobility)"
12/18/2017 18:41:10,Kyllä,35 - 39,Nainen,164,7B,Uberhänk,Kyllä,"Kaunis, kuvauksellinen, tyylikäs","Boulderin nähdessään sen haluaa kiivetä! Selkeä kantti, hänkkäävä ja kuvauksellinen. Useampi tapa kiivetä toppiin.",Hänkki (overhang),Reuna/kantti (edge/ledge),"Huukkaus (hook), Tekniikka (technique), Voima (power)",Kyllä,Vanhuuteen ja Takaisin,Kyllä,"Huukkailtava, tekninen, hieno","Monipuolinen monen muuvin reitti, saa huukkailla, paljon otteita, kuitenkaan ei voi ihan räpeltämällä päästä toppiin.",Pysty (wall),"Krimppi (crimp), Reuna/kantti (edge/ledge)","Huukkaus (hook), Kestävyys (endurance), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Kyllä,Humpuukitalous,Kyllä,"Väsyttävä, atleettinen, voimallinen","Vaatii voimaa käsistä ja keskivartalosta, on hyvin selkeä linja, tekniikkaa voi käyttää monipuolisesti hyväksi. ","Hänkki (overhang), Kantti (arête)",Reuna/kantti (edge/ledge),"Keskivartalo (core), Kestävyys (endurance), Sormivoima (finger strength), Tekniikka (technique), Voima (power)"
12/18/2017 19:25:59,Kyllä,25 - 29,Nainen,164,6A,Släbi,Kyllä,"Korkea, mukava, halaileva",,Släbi (slab),"Reuna/kantti (edge/ledge), Pinchi (pinch)","Keskivartalo (core), Kestävyys (endurance), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Tasapaino (balance)",Ei,,,,,,,,,,,,,,,
12/18/2017 19:44:49,Kyllä,55 - 59,Mies,173,7C,Hirviö,Kyllä,"Esteettinen, kauhistuttava, lumoava",Monipuoliset muuvit jotka jatkuvat tasaisen vaikeasti.,Katto (roof),"Reuna/kantti (edge/ledge), Nyrkkijammi","Keskivartalo (core), Kestävyys (endurance), Kompressio (compression), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Tekniikka (technique), Voima (power), Jammaus",Kyllä,Haukkis-traverse,Kyllä,"Hauska, pitkä, läpsyttelyä","Helppo treenata kestävyyttä, mukavalla paikalla.","Pysty (wall), Hänkki (overhang)","Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Kestävyys (endurance), Tekniikka (technique)",Kyllä,Kahvojen ketju,Kyllä,"Tekninen, pitkä, monipuolinen",Monipuoliset jammit,Katto (roof),"Nyrkkijammi, käsijammi, jalkajammi,  thinhandjammi","Keskivartalo (core), Kestävyys (endurance), Kompressio (compression), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Tekniikka (technique), Voima (power), Jammaustaito"
12/18/2017 20:40:59,Kyllä,30 - 34,Mies,180,6A,Long Joe,Ei,Mikä on adjektiivi?,Hyvä traverse,"Släbi (slab), Pysty (wall), Hänkki (overhang), Katto (roof), Kantti (arête), Hyvä traverse pääsin puoliväliin melkein","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge), Pinchi (pinch), Poketti (pocket), Gastoni (gaston), Underi (undercling), Hyvä traverse","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Kestävyys (endurance), Kompressio (compression), Liikkuvuus (mobility), Mantteli (mantel), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique), Voima (power), Erihyvä traverse-koordinaatio",Kyllä,Long Joen viereinen traverse,Ei,Vittumainen pyllerrys,Hyvä traverse,"Släbi (slab), Pysty (wall), Hänkki (overhang), Katto (roof), Kantti (arête), Emt","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge), Pinchi (pinch), Poketti (pocket), Gastoni (gaston), Underi (undercling), Kyinen kurkotus","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Kestävyys (endurance), Kompressio (compression), Liikkuvuus (mobility), Mantteli (mantel), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique), Voima (power), Hyvä keskikokoinen spottaaja",Ei,,,,,,,
12/18/2017 20:47:48,Kyllä,25 - 29,Mies,172,7B,Ruoska,Kyllä,"Tekninen, voimakas, kuumottava","Tasaisen haastava ja poikkeuksellisen korkea (tampereen alueella). Hienot muuvit, useita minikrukseja",Pysty (wall),Krimppi (crimp),"Keskivartalo (core), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/18/2017 20:49:32,Kyllä,25 - 29,Mies,172,7C,Red October,Kyllä,"jatkuva, sloupahtava, turvallinen",Hienoa herkkää huukkailua ja slouppailua laadukkaalla kivellä,Hänkki (overhang),"Slouppi (sloper), Pinchi (pinch)","Keskivartalo (core), Huukkaus (hook), Voima (power)",Ei,,,,,,,,,,,,,,,
12/18/2017 21:32:55,Kyllä,50 - 54,Mies,186,7C,Kun Jari koskee,Kyllä,"Upea, kaunis, paras",Pala fontsua Suomessa,"Kantti (arête), Kompressio",Reuna/kantti (edge/ledge),"Huukkaus (hook), Kompressio (compression), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/18/2017 22:26:23,Kyllä,25 - 29,Mies,167,8A+,Timantit ovat ikuisia,Kyllä,"silmiähivelevä, kirpeitäkrimppejä, uljaskomiakaunis","Selkeä linja, selkeillä otteilla. Tosi hieno linja, jossa hyvät moovit. Kirsikkana kakun päällä ilmava toppaus, joka on semihaastava. ",Pysty (wall),Krimppi (crimp),"Kestävyys (endurance), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/19/2017 9:55:50,Kyllä,25 - 29,Mies,171,7B,Voodoo,Kyllä,"Katto, reachy, pitkä","Pitkä staminapumppu, selkeä kruksi keskellä.",Katto (roof),"Kahva (jug), Krimppi (crimp), Reuna/kantti (edge/ledge), Underi (undercling)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Liikkuvuus (mobility), Sormivoima (finger strength), Tekniikka (technique)",Kyllä,Lorién,Kyllä,"Bold, erilainen, hieno","Yksinäinen kivi metsässä, muutama vaikea ja hieno reitti. Lorien teknisesti hienoin ja ainakin toiseksi kuumottavin","Pysty (wall), Hänkki (overhang)","Kahva (jug), Krimppi (crimp), Slouppi (sloper)","Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tekniikka (technique)",Ei,,,,,,,
12/19/2017 10:03:10,Kyllä,30 - 34,Mies,179,8A,Paskapäivä,Kyllä,"jyrkkä, kompressio, selkeä linja", Kingi linja kauniissa ympäristössä.,Hänkki (overhang),"Kahva (jug), Krimppi (crimp)","Keskivartalo (core), Huukkaus (hook), Kompressio (compression), Voima (power)",Kyllä,Grand Slam,Kyllä,"Kaunis, ylväs, korkeahko",Metsän helmi,Pysty (wall),"Krimppi (crimp), Reuna/kantti (edge/ledge)","Dyno (dyno), Tasapaino (balance)",Kyllä,Millyways,Kyllä,"Tekninen, tasaisen vaikea, monipuolinen","Miellyttävät otteet, tarjoaa monipuolista kiipeilyä ja usempia betoja. ","Hänkki (overhang), Kantti (arête)","Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge)","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Liikkuvuus (mobility), Sormivoima (finger strength), Tekniikka (technique), Voima (power)"
12/19/2017 11:20:57,Kyllä,30 - 34,Mies,164,8A,Mahjongg,Kyllä,"Täydellistä kiveä, esteettinen, sopivan korkea",,"Hänkki (overhang), Kantti (arête)","Kahva (jug), Krimppi (crimp), Slouppi (sloper), Reuna/kantti (edge/ledge), Pinchi (pinch)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Kompressio (compression), Tekniikka (technique), Voima (power)",Kyllä,Puerto Rico,Kyllä,"kiva, pikku, mantteli",,Släbi (slab),Slouppi (sloper),"Mantteli (mantel), Tasapaino (balance), Tekniikka (technique)",Kyllä,"Vuoden släbi ""two pitches""",Ei,"high, hard, technic",,Släbi (slab),"Krimppi (crimp), Slouppi (sloper), Gastoni (gaston)","Liikkuvuus (mobility), Mantteli (mantel), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)"
12/19/2017 15:13:52,Kyllä,35 - 39,Mies,178,6B,Slummin linja,Kyllä,"Ilmava, harmaa, kalteva",Kiven laatu,Hänkki (overhang),"Kahva (jug), Slouppi (sloper), Takakahva","Psyykkinen vahvuus  (mental strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/19/2017 15:51:24,Kyllä,20 - 24,Mies,195,7B,Alcoholocaust,Kyllä,"Semikorkea, Krimppi, Toppaus",Mukavan pieniä krimppejä sekä kivoja flägejä,Pysty (wall),Krimppi (crimp),"Liikkuvuus (mobility), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/20/2017 10:38:26,Kyllä,20 - 24,Mies,175,6B+,Dodo,Ei,"Voimakas, pelottava, näyttävä",,Hänkki (overhang),"Krimppi (crimp), Reuna/kantti (edge/ledge)","Keskivartalo (core), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength)",Kyllä,Hammas RIP,Ei,"Esteettinen, selkeälinjainen, voimakas",,Hänkki (overhang),"Kahva (jug), Krimppi (crimp)","Huukkaus (hook), Sormivoima (finger strength), Voima (power)",Ei,,,,,,,
12/20/2017 10:40:35,Kyllä,30 - 34,Mies,185,7C,On se kova,Kyllä,"Mehukas, jäntevä, savuinen",,Hänkki (overhang),"Krimppi (crimp), Reuna/kantti (edge/ledge)","Keskivartalo (core), Dyno (dyno), Huukkaus (hook), Kestävyys (endurance), Kompressio (compression), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Voima (power)",Ei,,,,,,,,,,,,,,,
12/20/2017 10:47:34,Kyllä,20 - 24,Mies,186,7B+,Kukkakeppi,Kyllä,"Korkea, herkkä, helppo",,Kantti (arête),Reuna/kantti (edge/ledge),"Keskivartalo (core), Tasapaino (balance)",Kyllä,Pot smoker,Kyllä,"Voimallinen, sisäkiipeilyllinen, hänkki",,Hänkki (overhang),Kahva (jug),"Keskivartalo (core), Voima (power)",Ei,,,,,,,
12/20/2017 12:02:13,Kyllä,25 - 29,Mies,171,7B+,Herkules,Kyllä,"Komea, korkea, kaunis",,Kantti (arête),Reuna/kantti (edge/ledge),"Huukkaus (hook), Kompressio (compression), Psyykkinen vahvuus  (mental strength)",Ei,,,,,,,,,,,,,,,
12/20/2017 13:23:15,Kyllä,25 - 29,Mies,183,7A+,Sittis ss,Ei,"Monipuolinen, hienot liikkeet, tekninen",,"Pysty (wall), Kantti (arête)","Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Kompressio (compression), Tasapaino (balance), Tekniikka (technique), Pituus / morpho",Ei,,,,,,,,,,,,,,,
12/20/2017 21:11:02,Kyllä,45 - 49,Mies,178,7B,Kun Jari koskee,Kyllä,"Houkutteleva, pehmeä, tasapainoinen",Vaatii keskittymistä sekä taitoa,Kantti (arête),Slouppi (sloper),"Keskivartalo (core), Huukkaus (hook), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/21/2017 0:08:44,Kyllä,30 - 34,Mies,185,7B+,Livin' acro,Kyllä,"Pähkinä, sensitiivinen, yllättävä",,Pysty (wall),"Slouppi (sloper), Reuna/kantti (edge/ledge)","Mantteli (mantel), Tasapaino (balance), Tekniikka (technique)",Kyllä,Lippatraverse,Kyllä,"Tasainen, mukavaotteinen, kitkaa vaativa",,Kantti (arête),Slouppi (sloper),"Huukkaus (hook), Mantteli (mantel), Voima (power)",Kyllä,Kukkakeppi,Kyllä,"Näyttävä, ainutlaatuinen, vaikea",,Kantti (arête),Reuna/kantti (edge/ledge),"Tasapaino (balance), Tekniikka (technique)"
12/21/2017 21:03:44,Kyllä,40 - 44,Mies,172,7C,Supermartikainen,Kyllä,"Upea, kaunis, haastava",Klassikkoreitti,"Hänkki (overhang), Kantti (arête)","Slouppi (sloper), Reuna/kantti (edge/ledge)","Huukkaus (hook), Kompressio (compression)",Kyllä,Endless hangover,Kyllä,"Monipuolinen, jännittävä, pelottava",Hienot muuvit ja huukkeja. ,Hänkki (overhang),"Kahva (jug), Krimppi (crimp)","Huukkaus (hook), Voima (power)",Kyllä,Kompressöör,Kyllä,"Herkkä, herkkä, herkkä ",,"Släbi (slab), Pysty (wall)",Slouppi (sloper),"Huukkaus (hook), Kompressio (compression), Tasapaino (balance), Tekniikka (technique)"
12/21/2017 22:47:22,Kyllä,40 - 44,Nainen,159,7A,Puerto Rico,Kyllä,"Herkkä, päätähuimaava, jännä","Sijainti omaa luokkaansa Fågelbergetissä, kaunis paikka.",Pysty (wall),"Krimppi (crimp), Slouppi (sloper), Underi (undercling)","Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Tasapaino (balance), Tekniikka (technique)",Ei,,,,,,,,,,,,,,,
12/22/2017 11:20:49,Kyllä,40 - 44,Mies,171,7B+,Kaljala,Kyllä,"Jatkuva, otteikas, visuaalinen","Hieno, jatkuva pätkä hyvillä otteilla ja muuveilla.",Hänkki (overhang),"Kahva (jug), Reuna/kantti (edge/ledge), Pinchi (pinch)","Keskivartalo (core), Tekniikka (technique), Voima (power)",Kyllä,Witness the fatness,Kyllä,"tekninen, voimallinen, jatkuva","Jatkuvaa, voimallista mutta teknistä kiipeilyä hyvällä kivenlaadulla ja hyvillä otteilla.","Hänkki (overhang), Katto (roof)","Kahva (jug), Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Tekniikka (technique), Voima (power)",Kyllä,Comfort Zone,Ei,"tekninen, psyykkinen, kaunis",Hieno släbi niukoilla otteilla. Kiipeilyä lähes pelkillä jaloilla. Olis klassikko missä vaan.,Släbi (slab),"Krimppi (crimp), jalkaotteet","Psyykkinen vahvuus  (mental strength), Tasapaino (balance), Tekniikka (technique)"
12/22/2017 11:51:06,Kyllä,35 - 39,Mies,182,7C+,Suomalaista muotoilua,Kyllä,"Muhkea, lowball, hylje",Lapin paras toppaus,"Hänkki (overhang), valaanmaha",Reuna/kantti (edge/ledge),"Kompressio (compression), Mantteli (mantel)",Ei,,,,,,,,,,,,,,,
12/22/2017 12:05:52,Kyllä,40 - 44,Mies,183,8A,Isildur assis,Kyllä,"kompressio, dynaaminen, jatkuva ",,Hänkki (overhang),"Krimppi (crimp), Slouppi (sloper)","Dyno (dyno), Kompressio (compression)",Kyllä,The Globalist,Ei,"kompressio, slouppaava, voimallinen",,Hänkki (overhang),"Krimppi (crimp), Slouppi (sloper), Pinchi (pinch)","Huukkaus (hook), Kompressio (compression), Mantteli (mantel)",Kyllä,Living the Dream,Ei,"Upea, veistoksellinen, erikoinen",,"Katto (roof), Kantti (arête)","Krimppi (crimp), Reuna/kantti (edge/ledge)","Keskivartalo (core), Dyno (dyno), Voima (power)"
12/22/2017 12:33:50,Kyllä,25 - 29,Nainen,173,7A+,Heureka,Kyllä,"Yllättävä, hankala, ongelmallinen",Tarvittava herkkyys ja voimien mitouttaminen yllätti. ,Pysty (wall),Krimppi (crimp),"Keskivartalo (core), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength), Sormivoima (finger strength), Tasapaino (balance), Tekniikka (technique)",Kyllä,Hammertime,Ei,"Sulava, kiipeilyllinen, korkea","Kiipeilylliset pitkät muuvit, mutta hyvät otteet. Korkeus pelottaa topatessa (tai topista pakittaessa)' ","Pysty (wall), Korkea",Hyvää otetta. ,"Keskivartalo (core), Liikkuvuus (mobility), Psyykkinen vahvuus  (mental strength)",Kyllä,Suomalaista muotoilua,Kyllä,"Kaunis, hauska, yllättävä",Marttiservolla kivenlaatu takaa miellyttävän kiipeilyn.,Fontsutyylinen pallura. ,"Kahva (jug), Slouppi (sloper)","Kompressio (compression), Voima (power)"
12/22/2017 13:07:13,Kyllä,30 - 34,Mies,190,7A,Hyvä!,Kyllä,"hyvä, vaikea, voimallinen","Boulderointia parhaimmillaan, selkä maata viistäen. Masentavan alhainen greidi vaikeuteen nähden.",Katto (roof),"Krimppi (crimp), Slouppi (sloper)","Keskivartalo (core), Huukkaus (hook), Kestävyys (endurance), Psyykkinen vahvuus  (mental strength)",Kyllä,Ruoska,Kyllä,"herkkä, tekninen, korkea","Hienon hieno pystysuora haaste. Hyvä kivenlaatu, selkeät mutta vaikeat muuvit. Jokaiselle kehotyypille omat haasteensa eikä millään ominaisuudella voi huijata.",Pysty (wall),"Krimppi (crimp), Slouppi (sloper), Poketti (pocket), Gastoni (gaston)","Keskivartalo (core), Tekniikka (technique)",Kyllä,Hallonpingvin,Kyllä,"Tekninen, krimpikäs, tyydyttävä","Hienolla sijainnilla oleva, sopivasti haastava ja teknisesti hieno.",Pysty (wall),Krimppi (crimp),"Sormivoima (finger strength), Tekniikka (technique)"
