Votes,VotedBy,Name,Grade,GradeNumeric,InFinland,AreaLevel1,AreaLevel2,AreaLevel3,Crag,ApproximateCoordinates,Coordinates,Latitude,Longitude,Url27crags,UrlVideo,UrlStory,MainProfiles,MainHoldTypes,MainSkillsNeeded,Adjectives,Comments
2,Male,Elämä on pyyttonia,7B,16,Yes,Pohjois-Pohjanmaa,Raahe,Siikajoki,Luohua,No,"64.502098,25.227200",64.502098,25.2272,https://27crags.com/crags/luohua/routes/elama-on-pyyttonia,,,"pysty (wall),släbi (slab)",slouppi (sloper),"huukkaus (hook),keskivartalo (core),kestävyys (endurance),liikkuvuus (mobility),tekniikka (technique)","hieno,huukattava,korkea,mieletön,pitkä,sileä","""Puhdas sloupperi probleema pitkällä traversella, päättyen pitkään lukkoon ja herkkään high ball toppaukseen"""
2,Male,Endless hangover,7B,16,Yes,Uusimaa,,,,Yes,"60.169856,24.938379",60.169856,24.938379,https://27crags.com/crags/myllis/routes/endless-hangover,,,hänkki (overhang),"kahva (jug),krimppi (crimp)","huukkaus (hook),keskivartalo (core),kestävyys (endurance),sormivoima (finger strength),voima (power)","dynaaminen,hänkki,jännittävä,monipuolinen,pelottava,pitkä","""Hieno ja jatkuva linja alusta loppuun tiukalla hänkillä ja hyvillä otteilla"",""Hienot muuvit ja huukkeja."""
2,Both,Saturday night fever,7B,16,Yes,Uusimaa,Helsinki,Espoo,Soukka,No,"60.129404,24.680926",60.129404,24.680926,https://27crags.com/crags/soukka/routes/saturday-night-fever,https://vimeo.com/120869236#t=4m2s,,"hänkki (overhang),kantti (arête),pysty (wall)","krimppi (crimp),pinchi (pinch),reuna/kantti (edge/ledge)","dyno (dyno),huukkaus (hook),keskivartalo (core),liikkuvuus (mobility),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),tekniikka (technique),varvas koukku,voima (power)","ilmava,klassikko,opettelua vaativa","""Pisteet tulee siitä, että lyhyenä joutui kikkailemaan ja projektoimaan ja silti onnistui."""
2,Male,Tyhjä sielu,7B,16,Yes,Uusimaa,Helsinki,Vantaa,Suunnistaja,No,"60.301108,25.174015",60.301108,25.174015,https://27crags.com/crags/suunnistaja/routes/tyhja-sielu-22850,https://www.youtube.com/watch?v=URjsHkflyt8&t=16m4s,,hänkki (overhang),"kahva (jug),krimppi (crimp),pinchi (pinch),reuna/kantti (edge/ledge),slouppi (sloper),underi (undercling)","huukkaus (hook),keskivartalo (core),sormivoima (finger strength),tekniikka (technique),voima (power)","hauska,huukkitekninen,oterikas,poikeuksellinen,voimallinen","""Upeita moveja jatkuvalla syötöllä huikeella kivenlaadulla"",""EI EHKÄ VAIKEIN GREIDISSÄÄN, MUTTA HAUSKAA  JA EPÄTYYPILLISTÄ KIIPEILYÄ SUOMALAISELTA BOULDERILTA, KIVEN LAATU MYÖS LÄHTÖKOHTAISESTI HYVÄ!"""
2,Both,Uberhänk,7B,16,Yes,Pohjanmaa,Vaasa,Vaasa,Hautuumaa,No,"63.063999,21.730200",63.063999,21.7302,https://27crags.com/crags/hautuumaa/routes/uberhank,https://vimeo.com/26774987#t=1m54s,,"hänkki (overhang),kantti (arête)","krimppi (crimp),reuna/kantti (edge/ledge),slouppi (sloper)","dyno (dyno),huukkaus (hook),tekniikka (technique),voima (power)","dynaaminen,huukkailtava,jännittävä,kaunis,kuvauksellinen,tyylikäs","""Lähtö luolasta, huukattava kantti sloupperiin, jännittävä bulgen ylitys pikkukrimpillä, no shit moves"",""Boulderin nähdessään sen haluaa kiivetä! Selkeä kantti, hänkkäävä ja kuvauksellinen. Useampi tapa kiivetä toppiin."""
2,Male,Block Work,7A,14,Yes,Uusimaa,Loviisa,Loviisa,Lappnor,No,"60.418968,26.122098",60.418968,26.122098,https://27crags.com/crags/lappnor/routes/block-work,https://vimeo.com/182411635#t=2m7s,,hänkki (overhang),"kahva (jug),krimppi (crimp)","huukkaus (hook),keskivartalo (core),sormivoima (finger strength),tekniikka (technique)","haastava,hieno,jatkuva,raskas,tekninen,tiukka","""Loivalla hänkillä upeita moveja"",""Komea jatkuva linja jossa täytyy keskittyä jokaiseen muuviin alusta loppuun."""
2,Male,Comfort Zone,7A,14,Yes,Kanta-Häme,Hämeenlinna,Hämeenlinna,Palkkivehmas,No,"61.033364,24.109727",61.033364,24.109727,https://27crags.com/crags/palkkivehmas/routes/comfort-zone-10460,https://vimeo.com/162333525,,släbi (slab),"jalkaotteet,krimppi (crimp)","keskivartalo (core),liikkuvuus (mobility),psyykkinen vahvuus  (mental strength),tasapaino (balance),tekniikka (technique)","herkkä,kaunis,psyykkinen,tekninen,voimakas","""Hieno släbi niukoilla otteilla. Kiipeilyä lähes pelkillä jaloilla. Olis klassikko missä vaan."""
2,Male,Grand Slam,7A,14,Yes,Pirkanmaa,Tampere,Nokia,Pinsiö,No,"61.527882,23.430898",61.527882,23.430898,https://27crags.com/crags/pinsio/routes/grand-slam,https://vimeo.com/127707483,,pysty (wall),"krimppi (crimp),reuna/kantti (edge/ledge)","dyno (dyno),sormivoima (finger strength),tasapaino (balance),tekniikka (technique)","armoton,hieno,kaunis,korkea,korkeahko,ylväs","""Ulkonäkö ja muuvit ja aivan erityisesti viimeiset viisi senttiä."",""Metsän helmi"""
2,Male,Lorién,7A,14,Yes,Pohjanmaa,Vaasa,Vaasa,Lorién,No,"63.070804,21.574788",63.070804,21.574788,https://27crags.com/crags/lorien/routes/lorien,https://vimeo.com/164969419,,"hänkki (overhang),pysty (wall)","kahva (jug),krimppi (crimp),pinchi (pinch),slouppi (sloper)","dyno (dyno),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),tekniikka (technique)","bold,erilainen,hieno,tekninen,voimallinen","""Hieno tasapaino liike underista pinchiin, josta dynotaan."",""Yksinäinen kivi metsässä, muutama vaikea ja hieno reitti. Lorien teknisesti hienoin ja ainakin toiseksi kuumottavin"""
2,Male,Roadblock,7A,14,Yes,Etelä-Savo,Mikkeli,Mikkeli,Road Block,No,"61.585436,27.801987",61.585436,27.801987,https://27crags.com/crags/road-block/routes/roadblock,https://vimeo.com/183653495,,"hänkki (overhang),kantti (arête),pysty (wall)","krimppi (crimp),reuna/kantti (edge/ledge),slouppi (sloper),underi (undercling)","dyno (dyno),huukkaus (hook),keskivartalo (core),kompressio (compression),psyykkinen vahvuus  (mental strength),sormivoima (finger strength),tekniikka (technique),voima (power)","esteettinen,ilmava,kaunis,selkeä,tekninen,uljas","""Se että ilman oikeaa betaa et välttämättä pääse edes maasta ylös. Hyvä kivenlaatu, hienot moovit: herkät ja tekniset jalat yhdistettynä yläkropan runttaaviin mooveihin. Lisäksi toppauksen ilmavuus ja äärimmäisen lyhyt lähestyminen tekee tästä klassikon!"""
2,Male,Voodoo,7A,14,Yes,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.397900,19.830299",60.3979,19.830299,https://27crags.com/crags/grottan/routes/voodoo,https://vimeo.com/29114960#t=41s,,"hänkki (overhang),katto (roof)","kahva (jug),krimppi (crimp),reuna/kantti (edge/ledge),underi (undercling)","huukkaus (hook),keskivartalo (core),kestävyys (endurance),liikkuvuus (mobility),sormivoima (finger strength),tekniikka (technique),voima (power)","hänkki,katto,kaunis,pitkä,reachy,tiukka","""Siihen löyty aivan helevetin nätti sekvenssi."",""Pitkä staminapumppu, selkeä kruksi keskellä."""
2,Male,Enkeli,6B+,11,Yes,Uusimaa,Helsinki,Espoo,Haukilahti,No,"60.160404,24.764034",60.160404,24.764034,https://27crags.com/crags/haukilahti/routes/enkeli,https://vimeo.com/107602803,,"kantti (arête),pysty (wall)","krimppi (crimp),reuna/kantti (edge/ledge),slouppi (sloper)","huukkaus (hook),keskivartalo (core),mantteli (mantel),psyykkinen vahvuus  (mental strength),tasapaino (balance),tekniikka (technique)","helposti luettava,kaunis,monta variaatiota,sakottaa virheistä,tarkka","""Selvät otteet, joiden kuluneisuus tekee reitistä haastavan. Monipuoliset ja herkät muuvit."",""Kuumottava toppaus ja tarkkoja muuveja kolme ennen sitä"""
2,Both,Suomalaista muotoilua,6B+,11,Yes,Lappi,Rovaniemi,Rovaniemi,Martti Servo,No,"66.384686,25.472145",66.384686,25.472145,https://27crags.com/crags/martti-servo/routes/suomalaista-muotoilua,https://www.youtube.com/watch?v=poL9ZGYIMGU,,"fontsutyylinen pallura.,hänkki (overhang),valaanmaha","kahva (jug),reuna/kantti (edge/ledge),slouppi (sloper)","kompressio (compression),mantteli (mantel),voima (power)","hauska,hylje,kaunis,lowball,muhkea,yllättävä","""Lapin paras toppaus"",""Marttiservolla kivenlaatu takaa miellyttävän kiipeilyn."""
2,Both,Jotain dullattavaa,6B,10,Yes,Ahvenanmaan maalaiskunta,Geta,,Djupviksgrottorna,No,"60.399542,19.830805",60.399542,19.830805,https://27crags.com/crags/grottan/routes/jotain-dullattavaa,https://vimeo.com/43574383#t=5m50s,,"hänkki (overhang),traverse","kahva (jug),krimppi (crimp),reuna/kantti (edge/ledge)","huukkaus (hook),keskivartalo (core),kestävyys (endurance),voima (power)","esteettinen,hauska,hieno,kaunis,pitkä,pumppaava","""Traverse sekä pituus"",""Jalat pitää katsoa huolella. Kun olet päässyt traverseosuuden, oot ihan pumpissa ja silloin pitäisi jaksaa kiivetä ylöspäin."""
