Votes,VotedBy,Name,Grade,GradeNumeric,AreaLevel1,AreaLevel2,AreaLevel3,Crag,ApproximateLocation,Location,Latitude,Longitude,Url27crags,UrlVideo,UrlStory
1,Male,Humpuukitalous,7A,14,Pohjois-Pohjanmaa,Raahe,Siikajoki,Luohua,No,"64.502098,25.227200",64.502098,25.227200,https://27crags.com/crags/luohua/routes/humpuukitalous,https://vimeo.com/33539803#t=13m22s,
1,Male,Kemiallinen venyttely,7A,14,Uusimaa,Helsinki,Helsinki,Haaga,No,"60.225300,24.884857",60.225300,24.884857,https://27crags.com/crags/haaga/routes/kemiallinen-venyttely,,
1,Male,Lorién,7A,14,Pohjanmaa,Vaasa,Vaasa,Lorién,No,"63.070804,21.574788",63.070804,21.574788,https://27crags.com/crags/lorien/routes/lorien,https://vimeo.com/164969419,
1,Male,Pyramidi ,7A,14,Lappi,Rovaniemi,Rovaniemi,Hiidenkirnut,No,"66.403043,25.450344",66.403043,25.450344,https://27crags.com/crags/hiidenkirnut/routes/pyramidi,,
1,Female,Sakai Direct,7A,14,Uusimaa,Helsinki,Espoo,Haukilahti,No,"60.160198,24.764200",60.160198,24.764200,https://27crags.com/crags/haukilahti/routes/sakai-direct,https://www.youtube.com/watch?v=zDGObC6n7NQ,
1,Male,Soffa,7A,14,Pohjois-Karjala,Pielisen Karjala,Lieksa,Jero,No,"63.061600,29.814433",63.061600,29.814433,https://27crags.com/crags/jero/routes/soffa,https://vimeo.com/51010509#t=1m31s,
1,Male,Valtiovierailu,7A,14,Uusimaa,Helsinki,Helsinki,Munkkiniemi,No,"60.190313,24.876684",60.190313,24.876684,https://27crags.com/crags/munkkiniemi/routes/valtiovierailu,https://vimeo.com/99653058,
1,Male,Los Grandes Cojones,6C+,13,Pohjanmaa,Vaasa,Vaasa,Melaniemi,No,"63.082152,21.701544",63.082152,21.701544,https://27crags.com/crags/melaniemi/routes/los-grandes-cojones,https://vimeo.com/182730366,
1,Male,Paidattomuus tuo voimaa,6C+,13,Varsinais-Suomi,Turku,Turku,Luolavuori,No,"60.430460,22.284851",60.430460,22.284851,https://27crags.com/crags/luolavuori-433/routes/paidattomuus-tuo-voimaa,https://www.youtube.com/watch?v=n16L1d4esPQ,
1,Male,Peilipeli,6C+,13,Uusimaa,Helsinki,Vantaa,Mellunmäki boulders,No,"60.239700,25.124500",60.239700,25.124500,https://27crags.com/crags/mellunmaki-boulders/routes/peilipeli,https://vimeo.com/28893393,
1,Male,Buéno,6C,12,Etelä-Savo,Pieksamäki,Juva,Koikkala,No,"61.774016,27.927375",61.774016,27.927375,https://27crags.com/crags/koikkala/routes/bueno-9689,https://vimeo.com/24119988,
1,Male,Muikkuhyppy,6C,12,Etelä-Savo,Mikkeli,Mikkeli,Ihastjärvi,No,"61.722500,27.282700",61.722500,27.282700,https://27crags.com/crags/ihastjarvi/routes/muikkuhyppy,https://vimeo.com/13754772,
1,Female,Orudis,6C,12,Keski-Suomi,Jyväskylä,Jyväskylä,28.7,No,"62.360500,25.777300",62.360500,25.777300,https://27crags.com/crags/28-7/routes/orudis,,
1,Male,Paris-Dakar,6C,12,Uusimaa,Helsinki,Sipoo,Viirilä,No,"60.320191,25.146739",60.320191,25.146739,https://27crags.com/crags/viirila/routes/paris-dakar,https://www.youtube.com/watch?v=s56i3IueSvo,
1,Male,Pictor,6C,12,Ahvenanmaan maalaiskunta,Geta,,Fågelberget,No,"60.413026,19.835325",60.413026,19.835325,https://27crags.com/crags/fagelberget/routes/pictor,https://vimeo.com/135124149#t=4m21s,
1,Male,Haavaton Unelma,6B,10,Etelä-Savo,Mikkeli,Puumala,Hurissalo west,No,"61.421586,27.762863",61.421586,27.762863,https://27crags.com/crags/hurissalo-west/routes/haavaton-unelma,https://vimeo.com/3379415#t=11m42s,
1,Male,illuminator,6B,10,Keski-Suomi,Keuruu,Keuruu,Murron kivi,No,"62.255159,24.744172",62.255159,24.744172,https://27crags.com/crags/murron-kivi/routes/illuminator,,
1,Male,Lobotomy wall,6B,10,Uusimaa,Helsinki,Helsinki,Meilahti,No,"60.187698,24.897200",60.187698,24.897200,https://27crags.com/crags/meilahti/routes/lobotomy-wall,https://vimeo.com/78863562,
1,Female,Saleismi,6B,10,Etelä-Savo,Mikkeli,Puumala,Hurissalo,No,"61.500813,27.893858",61.500813,27.893858,https://27crags.com/crags/hurissalo/routes/saleismi,https://youtu.be/gwyw6wHripU?t=10m21s,
1,Male,Savumuuri,6A+,9,Uusimaa,Helsinki,Helsinki,Taivaskallio,No,"60.219200,24.950500",60.219200,24.950500,https://27crags.com/crags/taivaskallio/routes/savumuuri,,
1,Male,"Vaarallinen liikenteessä, ss",6A,8,Uusimaa,Helsinki,Kirkkonummi,Vuohimäki,No,"60.102480,24.367770",60.102480,24.367770,https://27crags.com/crags/vuohimaki/routes/vaarallinen-liikenteessa,,
1,Male,Hiili,5+,7,Lappi,Rovaniemi,Rovaniemi,Hiidenkirnut,No,"66.403043,25.450344",66.403043,25.450344,https://27crags.com/crags/hiidenkirnut/routes/hiili,,
1,Male,R2D2,5+,7,Etelä-Savo,Savonlinna,Savonlinna,Korpi,No,"61.857222,28.608398",61.857222,28.608398,https://27crags.com/crags/korpi/routes/r2d2,,
1,Male,Live like Makkonen,?,0,Päijät-häme,,,,Yes,"60.982675,25.661210",60.982675,25.661210,,https://www.youtube.com/watch?v=9L_9L_FaY6Y&t=16m49s,
